family,organism,fasta_path,uniprot_accession,reference_gene_symbol,gene_id,gene_symbol,gene_name,transcript_id,transcript_name,seqid,strand,transcript_start,transcript_end,transcript_span,exon_count,mean_exon_length,total_exon_bases,intron_count,mean_intron_length
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766562.1,XR_009766562.1,NC_064600.1,+,455524,469765,14242,8,1007.625,8061,7,883.0
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766561.1,XR_009766561.1,NC_064600.1,+,455524,469765,14242,8,1049.875,8399,7,834.7142857142857
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766564.1,XR_009766564.1,NC_064600.1,+,455524,469765,14242,8,987.375,7899,7,906.1428571428571
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766550.1,XR_009766550.1,NC_064600.1,+,455525,469765,14241,8,1040.875,8327,7,844.8571428571429
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766565.1,XR_009766565.1,NC_064600.1,+,455525,469765,14241,8,978.375,7827,7,916.2857142857143
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XM_061662137.1,XM_061662137.1,NC_064600.1,+,455524,469765,14242,6,1908.0,11448,5,558.8
innexin,Caenorhabditis briggsae,project/data/references/innexins/Caenorhabditis_briggsae/inx-19__A8WVX4.fasta,A8WVX4,inx-19,gene-CBG_03987,Cbr-inx-19,Cbr-inx-19,rna-XM_045244287.1,XM_045244287.1,NC_013489.2,+,4663327,4665079,1753,5,264.0,1320,4,108.25
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/eat-5__Q27295.fasta,Q27295,eat-5,gene-CELE_F13G3.8,eat-5,eat-5,rna-NM_059667.8,NM_059667.8,NC_003279.8,-,7308643,7311915,3273,9,168.44444444444446,1516,8,219.625
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-10__Q22549.fasta,Q22549,inx-10,gene-CELE_Y48G1C.10,mtm-10,mtm-10,rna-NM_001306236.4,NM_001306236.4,NC_003279.8,+,81193,91296,10104,16,196.375,3142,15,464.1333333333333
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-10__Q22549.fasta,Q22549,inx-10,gene-CELE_Y48G1C.10,mtm-10,mtm-10,rna-NM_182095.5,NM_182095.5,NC_003279.8,+,86841,90607,3767,7,177.85714285714286,1245,6,420.3333333333333
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-10__Q22549.fasta,Q22549,inx-10,gene-CELE_Y48G1C.10,mtm-10,mtm-10,rna-NM_001306237.3,NM_001306237.3,NC_003279.8,+,89480,90607,1128,2,147.0,294,1,834.0
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-11__Q23157.fasta,Q23157,inx-11,gene-CELE_F53G12.1,rab-11.1,rab-11.1,rna-NM_058274.7,NM_058274.7,NC_003279.8,-,108674,110057,1384,4,310.0,1240,3,48.0
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-12__O01634.fasta,O01634,inx-12,gene-CELE_ZK770.3,inx-12,inx-12,rna-NM_058812.9,NM_058812.9,NC_003279.8,-,3755488,3759039,3552,5,278.0,1390,4,540.5
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-14__O62136.fasta,O62136,inx-14,gene-CELE_Y48G1A.4,nol-14,nol-14,rna-NM_001364065.4,NM_001364065.4,NC_003279.8,+,323855,330987,7133,7,393.42857142857144,2754,6,729.8333333333334
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-16__O61787.fasta,O61787,inx-16,gene-CELE_Y65B4BR.6,grl-16,grl-16,rna-NM_058353.6,NM_058353.6,NC_003279.8,-,572173,575120,2948,5,300.0,1500,4,362.0
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-16__O61787.fasta,O61787,inx-16,gene-CELE_Y65B4BR.6,grl-16,grl-16,rna-NM_182075.3,NM_182075.3,NC_003279.8,-,572173,575120,2948,5,336.0,1680,4,317.0
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-17__O61788.fasta,O61788,inx-17,gene-CELE_C54G6.5,spp-17,spp-17,rna-NM_170795.8,NM_170795.8,NC_003279.8,+,1016405,1017176,772,2,182.5,365,1,407.0
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-19__O61715.fasta,O61715,inx-19,gene-CELE_T16H5.1,inx-19,inx-19,rna-NM_001381412.2,NM_001381412.2,NC_003279.8,-,2451898,2456465,4568,5,282.8,1414,4,788.5
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-19__O61715.fasta,O61715,inx-19,gene-CELE_T16H5.1,inx-19,inx-19,rna-NM_058582.8,NM_058582.8,NC_003279.8,-,2451911,2463461,11551,6,252.5,1515,5,2007.2
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-2__Q9U3K5.fasta,Q9U3K5,inx-2,gene-CELE_F08G12.10,inx-2,inx-2,rna-NM_077484.6,NM_077484.6,NC_003284.9,-,11295007,11296733,1727,4,360.0,1440,3,95.66666666666667
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-3__Q19746.fasta,Q19746,inx-3,gene-CELE_F22F4.2,inx-3,inx-3,rna-NM_076601.7,NM_076601.7,NC_003284.9,+,5996156,5998243,2088,3,544.3333333333334,1633,2,227.5
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-5__Q23027.fasta,Q23027,inx-5,gene-CELE_R09F10.4,inx-5,inx-5,rna-NM_077002.5,NM_077002.5,NC_003284.9,-,8300027,8302399,2373,6,284.0,1704,5,133.8
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-6__Q9U3N4.fasta,Q9U3N4,inx-6,gene-CELE_C36H8.2,inx-6,inx-6,rna-NM_070034.5,NM_070034.5,NC_003282.8,+,12746584,12749721,3138,8,173.25,1386,7,250.28571428571428
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-7__Q21123.fasta,Q21123,inx-7,gene-CELE_K02B2.4,inx-7,inx-7,rna-NM_068493.8,NM_068493.8,NC_003282.8,-,5943981,5946638,2658,7,267.0,1869,6,131.5
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-7__Q21123.fasta,Q21123,inx-7,gene-CELE_K02B2.4,inx-7,inx-7,rna-NM_001306838.3,NM_001306838.3,NC_003282.8,-,5943982,5945315,1334,5,227.4,1137,4,49.25
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-8__Q23593.fasta,Q23593,inx-8,gene-CELE_ZK792.2,inx-8,inx-8,rna-NM_069808.8,NM_069808.8,NC_003282.8,+,11673844,11675635,1792,4,338.75,1355,3,145.66666666666666
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/unc-7__Q03412.fasta,Q03412,unc-7,gene-CELE_Y74C9A.1,txt-7,txt-7,rna-NM_058264.2,NM_058264.2,NC_003279.8,+,43733,44677,945,5,146.4,732,4,53.25
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/unc-9__O01393.fasta,O01393,unc-9,gene-CELE_R12H7.1,unc-9,unc-9,rna-NM_171790.9,NM_171790.9,NC_003284.9,+,13212390,13216725,4336,8,262.625,2101,7,319.2857142857143
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/unc-9__O01393.fasta,O01393,unc-9,gene-CELE_R12H7.1,unc-9,unc-9,rna-NM_001330917.4,NM_001330917.4,NC_003284.9,+,13213105,13215827,2723,6,161.5,969,5,350.8
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/Inx2__Q9V427.fasta,Q9V427,Inx2,gene-Dmel_CG4590,Inx2,Innexin 2,rna-NM_001272372.1,NM_001272372.1,NC_004354.4,+,6998672,7004151,5480,2,2633.0,5266,1,214.0
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/Inx2__Q9V427.fasta,Q9V427,Inx2,gene-Dmel_CG4590,Inx2,Innexin 2,rna-NM_167104.3,NM_167104.3,NC_004354.4,+,6998672,7004151,5480,3,919.3333333333334,2758,2,1361.0
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/Inx2__Q9V427.fasta,Q9V427,Inx2,gene-Dmel_CG4590,Inx2,Innexin 2,rna-NM_132147.4,NM_132147.4,NC_004354.4,+,6998672,7003495,4824,2,1158.0,2316,1,2508.0
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/Inx2__Q9V427.fasta,Q9V427,Inx2,gene-Dmel_CG4590,Inx2,Innexin 2,rna-NM_001169213.2,NM_001169213.2,NC_004354.4,+,6998672,7000503,1832,1,1832.0,1832,0,0.0
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/Inx3__Q9VAS7.fasta,Q9VAS7,Inx3,gene-Dmel_CG1448,Inx3,Innexin 3,rna-NM_001276121.1,NM_001276121.1,NT_033777.3,-,28853606,28859214,5609,6,356.0,2136,5,694.6
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/Inx3__Q9VAS7.fasta,Q9VAS7,Inx3,gene-Dmel_CG1448,Inx3,Innexin 3,rna-NM_001300646.1,NM_001300646.1,NT_033777.3,-,28854137,28859497,5361,6,275.3333333333333,1652,5,741.8
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/Inx3__Q9VAS7.fasta,Q9VAS7,Inx3,gene-Dmel_CG1448,Inx3,Innexin 3,rna-NM_079991.3,NM_079991.3,NT_033777.3,-,28854137,28859214,5078,6,267.5,1605,5,694.6
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/Inx5__Q9VWL5.fasta,Q9VWL5,Inx5,gene-Dmel_CG7537,Inx5,Innexin 5,rna-NM_133125.3,NM_133125.3,NC_004354.4,-,19168777,19170883,2107,2,907.0,1814,1,293.0
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/Inx6__Q9VR82.fasta,Q9VR82,Inx6,gene-Dmel_CG17063,Inx6,Innexin 6,rna-NM_132146.2,NM_132146.2,NC_004354.4,-,20267821,20269769,1949,2,937.5,1875,1,74.0
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/Inx7__Q9V3W6.fasta,Q9V3W6,Inx7,gene-Dmel_CG2977,Inx7,Innexin 7,rna-NM_176699.3,NM_176699.3,NC_004354.4,-,6991612,6993612,2001,3,544.6666666666666,1634,2,183.5
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/ogre__P27716.fasta,P27716,ogre,gene-Dmel_CG3039,ogre,optic ganglion reduced,rna-NM_001258628.3,NM_001258628.3,NC_004354.4,-,6973620,6991318,17699,6,359.6666666666667,2158,5,3108.2
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/ogre__P27716.fasta,P27716,ogre,gene-Dmel_CG3039,ogre,optic ganglion reduced,rna-NM_001258629.2,NM_001258629.2,NC_004354.4,-,6974034,6985668,11635,7,399.14285714285717,2794,6,1473.5
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/ogre__P27716.fasta,P27716,ogre,gene-Dmel_CG3039,ogre,optic ganglion reduced,rna-NM_001272371.1,NM_001272371.1,NC_004354.4,-,6974034,6985668,11635,8,383.5,3068,7,1223.857142857143
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/ogre__P27716.fasta,P27716,ogre,gene-Dmel_CG3039,ogre,optic ganglion reduced,rna-NM_080085.5,NM_080085.5,NC_004354.4,-,6974034,6981683,7650,6,360.1666666666667,2161,5,1097.8
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/ogre__P27716.fasta,P27716,ogre,gene-Dmel_CG3039,ogre,optic ganglion reduced,rna-NM_167101.3,NM_167101.3,NC_004354.4,-,6974034,6980994,6961,6,300.3333333333333,1802,5,1031.8
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/ogre__P27716.fasta,P27716,ogre,gene-Dmel_CG3039,ogre,optic ganglion reduced,rna-NM_001272370.1,NM_001272370.1,NC_004354.4,-,6974034,6977810,3777,6,281.5,1689,5,417.6
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/shakB__P33085.fasta,P33085,shakB,gene-Dmel_CG3827,sc,scute,rna-NM_057455.3,NM_057455.3,NC_004354.4,+,396060,397497,1438,1,1438.0,1438,0,0.0
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/zpg__Q9VRX6.fasta,Q9VRX6,zpg,gene-Dmel_CG10125,zpg,zero population growth,rna-NM_001274549.1,NM_001274549.1,NT_037436.4,-,6604366,6606032,1667,3,513.0,1539,2,64.0
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/zpg__Q9VRX6.fasta,Q9VRX6,zpg,gene-Dmel_CG10125,zpg,zero population growth,rna-NM_139792.3,NM_139792.3,NT_037436.4,-,6604450,6606032,1583,3,485.0,1455,2,64.0
innexin,Schistocerca americana,project/data/references/innexins/Schistocerca_americana/inx1__Q9XYN0.fasta,Q9XYN0,inx1,gene-LOC124554761,LOC124554761,LOC124554761,rna-XM_047128410.1,XM_047128410.1,NC_060130.1,+,721132091,721160894,28804,2,2820.0,5640,1,23164.0
innexin,Schistocerca americana,project/data/references/innexins/Schistocerca_americana/inx2__Q9XYN1.fasta,Q9XYN1,inx2,gene-LOC124594079,LOC124594079,LOC124594079,rna-XM_047132430.1,XM_047132430.1,NC_060120.1,+,444867854,444933148,65295,6,205.5,1233,5,12812.4
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJA1__P18246.fasta,P18246,GJA1,gene-GJA1,GJA1,gap junction protein alpha 1,rna-NM_174068.2,NM_174068.2,NC_037336.1,-,29748655,29761667,13013,2,1547.5,3095,1,9918.0
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJA3__P41987.fasta,P41987,GJA3,gene-GJA3,GJA3,gap junction protein alpha 3,rna-XM_005213760.5,XM_005213760.5,NC_037339.1,+,36103532,36116554,13023,2,1051.5,2103,1,10920.0
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJA3__P41987.fasta,P41987,GJA3,gene-GJA3,GJA3,gap junction protein alpha 3,rna-NM_001166296.1,NM_001166296.1,NC_037339.1,+,36114554,36115777,1224,1,1224.0,1224,0,0.0
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJA4__A4IFL1.fasta,A4IFL1,GJA4,gene-GJA4,GJA4,gap junction protein alpha 4,rna-XM_059884774.1,XM_059884774.1,NC_037330.1,-,110888194,110890928,2735,2,917.0,1834,1,901.0
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJA4__A4IFL1.fasta,A4IFL1,GJA4,gene-GJA4,GJA4,gap junction protein alpha 4,rna-NM_001083738.1,NM_001083738.1,NC_037330.1,-,110888194,110890904,2711,2,805.0,1610,1,1101.0
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJA5__Q0VCR2.fasta,Q0VCR2,GJA5,gene-GJA5,GJA5,gap junction protein alpha 5,rna-NM_001078022.1,NM_001078022.1,NC_037330.1,+,21877817,21894421,16605,2,1091.5,2183,1,14422.0
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJA5__Q0VCR2.fasta,Q0VCR2,GJA5,gene-GJA5,GJA5,gap junction protein alpha 5,rna-XM_005203993.5,XM_005203993.5,NC_037330.1,+,21877854,21895373,17520,2,1605.0,3210,1,14310.0
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJB1__O18968.fasta,O18968,GJB1,gene-GJB1,GJB1,gap junction protein beta 1,rna-NM_174069.2,NM_174069.2,NC_037357.1,-,79421765,79428791,7027,2,796.0,1592,1,5435.0
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJB2__A2VE67.fasta,A2VE67,GJB2,gene-KCNE2,KCNE2,potassium voltage-gated channel subfamily E regulatory subunit 2,rna-NM_001077084.2,NM_001077084.2,NC_037328.1,-,1123941,1131748,7808,2,389.5,779,1,7029.0
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJB3__Q58D78.fasta,Q58D78,GJB3,gene-GJB3,GJB3,gap junction protein beta 3,rna-NM_001104995.1,NM_001104995.1,NC_037330.1,-,110900180,110905849,5670,2,1013.5,2027,1,3643.0
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJB3__Q58D78.fasta,Q58D78,GJB3,gene-GJB3,GJB3,gap junction protein beta 3,rna-XM_005204817.5,XM_005204817.5,NC_037330.1,-,110900180,110905104,4925,2,979.5,1959,1,2966.0
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJD2__Q866T7.fasta,Q866T7,GJD2,gene-KCNE2,KCNE2,potassium voltage-gated channel subfamily E regulatory subunit 2,rna-NM_001077084.2,NM_001077084.2,NC_037328.1,-,1123941,1131748,7808,2,389.5,779,1,7029.0
connexin,Canis lupus familiaris,project/data/references/connexins/Canis_lupus_familiaris/GJA1__Q6S9C0.fasta,Q6S9C0,GJA1,gene-GJA1,GJA1,gap junction protein alpha 1,rna-NM_001002951.3,NM_001002951.3,NC_049222.1,+,61515138,61518103,2966,2,1462.0,2924,1,42.0
connexin,Canis lupus familiaris,project/data/references/connexins/Canis_lupus_familiaris/GJA5__P33725.fasta,P33725,GJA5,gene-GJA5,GJA5,gap junction protein alpha 5,rna-NM_001017442.2,NM_001017442.2,NC_049238.1,-,58946248,58962243,15996,2,819.5,1639,1,14357.0
connexin,Canis lupus familiaris,project/data/references/connexins/Canis_lupus_familiaris/GJC1__P28228.fasta,P28228,GJC1,gene-GJC1,GJC1,gap junction protein gamma 1,rna-NM_001020812.2,NM_001020812.2,NC_049230.1,+,18573413,18574603,1191,1,1191.0,1191,0,0.0
connexin,Chlorocebus sabaeus,project/data/references/connexins/Chlorocebus_sabaeus/GJA1__Q6TYA9.fasta,Q6TYA9,GJA1,gene-GJA1,GJA1,gap junction protein alpha 1,rna-XM_038000963.2,XM_038000963.2,NC_132916.1,+,45597815,45611779,13965,2,1542.5,3085,1,10880.0
connexin,Cricetulus griseus,project/data/references/connexins/Cricetulus_griseus/GJC1__Q6R4A8.fasta,Q6R4A8,GJC1,gene-Gjc1,Gjc1,gap junction protein gamma 1,rna-NM_001246786.1,NM_001246786.1,NC_048600.1,+,115323716,115325011,1296,1,1296.0,1296,0,0.0
connexin,Danio rerio,project/data/references/connexins/Danio_rerio/cx23__U3JA75.fasta,U3JA75,cx23,gene-rad23aa,rad23aa,RAD23 homolog A%2C nucleotide excision repair protein a,rna-NM_001003739.1,NM_001003739.1,NC_133176.1,-,55435053,55452453,17401,9,184.22222222222223,1658,8,1967.875
connexin,Danio rerio,project/data/references/connexins/Danio_rerio/cx32.2__Q7T047.fasta,Q7T047,cx32.2,gene-gja13.2,gja13.2,gap junction protein alpha 13.2,rna-XR_012395638.1,XR_012395638.1,NC_133195.1,-,44013146,44020990,7845,3,1215.6666666666667,3647,2,2099.0
connexin,Danio rerio,project/data/references/connexins/Danio_rerio/cx32.2__Q7T047.fasta,Q7T047,cx32.2,gene-gja13.2,gja13.2,gap junction protein alpha 13.2,rna-NM_001030210.2,NM_001030210.2,NC_133195.1,-,44015553,44020977,5425,2,706.5,1413,1,4012.0
connexin,Danio rerio,project/data/references/connexins/Danio_rerio/gja1__O57474.fasta,O57474,gja1,gene-gja1b,gja1b,gap junction protein alpha 1b,rna-NM_131038.1,NM_131038.1,NC_133195.1,-,44006780,44012070,5291,2,1424.5,2849,1,2442.0
connexin,Danio rerio,project/data/references/connexins/Danio_rerio/gjc1__Q92052.fasta,Q92052,gjc1,gene-gjc1,gjc1,gap junction protein gamma 1,rna-XM_679922.8,XM_679922.8,NC_133178.1,-,14973075,15041394,68320,2,1954.5,3909,1,64411.0
connexin,Danio rerio,project/data/references/connexins/Danio_rerio/gjc1__Q92052.fasta,Q92052,gjc1,gene-gjc1,gjc1,gap junction protein gamma 1,rna-XM_068218809.2,XM_068218809.2,NC_133178.1,-,14973075,14986934,13860,2,1648.0,3296,1,10564.0
connexin,Equus caballus,project/data/references/connexins/Equus_caballus/GJB1__Q6WGK6.fasta,Q6WGK6,GJB1,gene-GJB1,GJB1,gap junction protein beta 1,rna-XM_070256577.1,XM_070256577.1,NC_091715.1,+,67714869,67724472,9604,2,835.0,1670,1,7934.0
connexin,Equus caballus,project/data/references/connexins/Equus_caballus/GJB1__Q6WGK6.fasta,Q6WGK6,GJB1,gene-GJB1,GJB1,gap junction protein beta 1,rna-XM_005614221.4,XM_005614221.4,NC_091715.1,+,67717747,67724472,6726,2,807.0,1614,1,5112.0
connexin,Equus caballus,project/data/references/connexins/Equus_caballus/GJB1__Q6WGK6.fasta,Q6WGK6,GJB1,gene-GJB1,GJB1,gap junction protein beta 1,rna-XM_070256578.1,XM_070256578.1,NC_091715.1,+,67719880,67724472,4593,2,896.5,1793,1,2800.0
connexin,Equus caballus,project/data/references/connexins/Equus_caballus/GJB1__Q6WGK6.fasta,Q6WGK6,GJB1,gene-GJB1,GJB1,gap junction protein beta 1,rna-XM_005614219.4,XM_005614219.4,NC_091715.1,+,67722432,67724472,2041,2,835.5,1671,1,370.0
connexin,Equus caballus,project/data/references/connexins/Equus_caballus/GJB1__Q6WGK6.fasta,Q6WGK6,GJB1,gene-GJB1,GJB1,gap junction protein beta 1,rna-XM_023633177.2,XM_023633177.2,NC_091715.1,+,67722494,67724472,1979,2,885.0,1770,1,209.0
connexin,Equus caballus,project/data/references/connexins/Equus_caballus/GJB1__Q6WGK6.fasta,Q6WGK6,GJB1,gene-GJB1,GJB1,gap junction protein beta 1,rna-NM_001081891.1,NM_001081891.1,NC_091715.1,+,67722982,67723866,885,1,885.0,885,0,0.0
connexin,Erinaceus europaeus,project/data/references/connexins/Erinaceus_europaeus/GJA1__Q6TYA8.fasta,Q6TYA8,GJA1,gene-GJA1,GJA1,gap junction protein alpha 1,rna-XM_007521294.3,XM_007521294.3,NC_080165.1,-,130451756,130468150,16395,2,1566.5,3133,1,13262.0
connexin,Gallus gallus,project/data/references/connexins/Gallus_gallus/GJA1__P14154.fasta,P14154,GJA1,gene-GJA1,GJA1,gap junction protein alpha 1,rna-NM_204586.3,NM_204586.3,NC_052534.1,-,61409929,61419060,9132,2,1598.0,3196,1,5936.0
connexin,Gallus gallus,project/data/references/connexins/Gallus_gallus/GJA1__P14154.fasta,P14154,GJA1,gene-GJA1,GJA1,gap junction protein alpha 1,rna-XM_046938411.1,XM_046938411.1,NC_052534.1,-,61409929,61418628,8700,2,1576.0,3152,1,5548.0
connexin,Gallus gallus,project/data/references/connexins/Gallus_gallus/GJA1__P14154.fasta,P14154,GJA1,gene-GJA1,GJA1,gap junction protein alpha 1,rna-XM_046938410.1,XM_046938410.1,NC_052534.1,-,61409929,61418628,8700,2,1630.5,3261,1,5439.0
connexin,Gallus gallus,project/data/references/connexins/Gallus_gallus/GJA3__P29415.fasta,P29415,GJA3,gene-GJA3,GJA3,gap junction protein alpha 3,rna-NM_001398090.1,NM_001398090.1,NC_052532.1,+,178850882,178864581,13700,2,4401.5,8803,1,4897.0
connexin,Gallus gallus,project/data/references/connexins/Gallus_gallus/GJA3__P29415.fasta,P29415,GJA3,gene-GJA3,GJA3,gap junction protein alpha 3,rna-NM_001040644.2,NM_001040644.2,NC_052532.1,+,178850882,178864581,13700,2,3863.0,7726,1,5974.0
