family,organism,assembly_accession,assembly_level,dataset_roles,n_sequences_analytical_clade_table,n_reference_proteins,n_legacy_discovery,n_curator_in_clade_table,n_curator_present_floor,prior_discovery,locate_method,notes
connexin,Equus caballus,GCF_041296265.1,Chromosome,reference_proteins,1,1,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Erinaceus europaeus,GCF_950295315.1,Chromosome,reference_proteins,1,1,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Fejervarya limnocharis,GCA_054083975.1,Chromosome,discovery_candidates,2,,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Gallus gallus,GCA_057662215.1,Chromosome,reference_proteins,6,6,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Gastrophryne carolinensis,GCA_027917425.1,Chromosome,discovery_candidates,2,,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Gorilla gorilla gorilla,GCF_029281585.2,Chromosome,reference_proteins,1,1,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Homo sapiens,GCA_057084165.1,Chromosome,reference_proteins,22,22,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Hucho bleekeri,GCA_057318875.1,Complete Genome,discovery_candidates,1,,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Hylobates moloch,GCF_009828535.3,Scaffold,reference_proteins,1,1,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Ichthyophis bannanicus,GCA_033557465.1,Chromosome,discovery_candidates,1,,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Leucoraja erinaceus,GCF_028641065.1,Chromosome,reference_proteins,1,1,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Mabuya desiradae,GCA_056883445.1,Chromosome,discovery_candidates,1,,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Macaca fascicularis,GCF_037993035.2,Complete Genome,reference_proteins,3,3,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Macaca mulatta,GCF_049350105.2,Complete Genome,reference_proteins,1,1,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Marmaronetta angustirostris,GCA_057375105.1,Chromosome,discovery_candidates,1,,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Mesocricetus auratus,GCF_017639785.1,Scaffold,reference_proteins,1,1,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Mus musculus,GCA_056825265.1,Complete Genome,reference_proteins,20,20,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Okamejei kenojei,GCA_035221665.1,Chromosome,discovery_candidates,1,,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Oryctolagus cuniculus,GCF_964237555.1,Chromosome,reference_proteins,1,1,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Ovis aries,GCA_057332225.1,Complete Genome,reference_proteins,3,3,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Pongo pygmaeus,GCF_028885625.2,Chromosome,reference_proteins,1,1,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Potamotrygon marinae,GCA_055471215.1,Chromosome,discovery_candidates,2,,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Rattus norvegicus,GCF_036323735.1,Chromosome,reference_proteins,14,14,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Sus scrofa,GCA_057782405.1,Complete Genome,reference_proteins,3,3,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Ursus americanus,GCF_020975775.1,Contig,reference_proteins,1,1,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Xenopus laevis,GCF_017654675.1,Chromosome,reference_proteins,4,4,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Xenopus tropicalis,GCF_000004195.4,Chromosome,reference_proteins,1,1,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
innexin,Abra alba,GCA_979025805.1,Chromosome,curator_present_in_clade_table;curator_genome_search;curator_present_floor;true_rescue,11,,,11,11,accepted=0;candidates=1,tblastn-regions+miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Abra segmentum,GCA_965244925.1,Chromosome,curator_present_in_clade_table;curator_genome_search;curator_present_floor;first_pass_not_run,18,,,18,17,not_run,tblastn-regions+miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Acanthascus dawsoni,GCA_978045225.1,Chromosome,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Acanthocardia echinata,GCA_977930445.1,Chromosome,curator_present_in_clade_table;curator_genome_search;curator_present_floor;first_pass_not_run,23,,,23,23,not_run,tblastn-regions+miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Acanthochitona discrepans,GCA_048544545.1,Chromosome,curator_present_in_clade_table;curator_genome_search;curator_present_floor;first_pass_not_run,7,,,7,7,not_run,tblastn-regions+miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Acartia tonsa,GCF_053477335.1,Chromosome,curator_present_in_clade_table;curator_genome_search;curator_present_floor;first_pass_not_run,32,,,32,27,not_run,tblastn-regions+miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Acropora austera,GCA_964273435.1,Chromosome,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Acropora cervicornis,GCA_964034985.1,Chromosome,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Acropora cf. manni,GCA_965118205.1,Chromosome,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Acropora glauca,GCA_964274385.1,Chromosome,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Acropora hyacinthus,GCA_964291705.1,Chromosome,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Adineta ricciae,GCA_905250025.1,Scaffold,curator_present_in_clade_table;curator_genome_search;curator_present_floor;first_pass_not_run,17,,,17,14,not_run,tblastn-regions+miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Adineta steineri,GCA_905250115.1,Scaffold,curator_present_in_clade_table;curator_genome_search;curator_present_floor;first_pass_not_run,19,,,19,18,not_run,tblastn-regions+miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Adineta vaga,GCA_021613535.1,,legacy_discovery_accepted;curator_present_in_clade_table;curator_genome_search;curator_present_floor,17,,2,15,13,accepted=2;candidates=8,tblastn-regions+miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Aedes aegypti,GCF_002204515.2,Chromosome,reference_proteins,1,1,,,,,,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Aegaeobuthus cyprius,GCA_978021275.1,Chromosome,legacy_discovery_accepted;curator_present_in_clade_table;curator_genome_search;curator_present_floor,14,,1,13,12,accepted=1;candidates=1,tblastn-regions+miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Aelurillus cypriotus,GCA_978018815.1,Chromosome,curator_present_in_clade_table;curator_genome_search;curator_present_floor;first_pass_not_run,11,,,11,11,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Agelas clathrodes,GCA_965279245.1,Chromosome,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Agelas conifera,GCA_965122385.1,Chromosome,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Agelas oroides,GCA_949130485.1,Chromosome,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Agelas tubulata,GCA_964245335.1,Chromosome,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Agelena orientalis,GCA_978045235.1,Chromosome,curator_present_in_clade_table;curator_genome_search;curator_present_floor;first_pass_not_run,12,,,12,11,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Amaurobius ferox,GCA_951213105.1,Chromosome,curator_present_in_clade_table;curator_genome_search;curator_present_floor;first_pass_not_run,15,,,15,14,not_run,tblastn-regions+miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Anopheles gambiae,GCF_943734735.2,Chromosome,reference_proteins,2,2,,,,,,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Beroe forskalii,GCA_011033025.1,Scaffold,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Beroe ovata,GCA_946803715.1,Scaffold,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Brachionus calyciflorus,GCA_002922825.1,Scaffold,curator_present_in_clade_table;curator_genome_search;curator_present_floor;first_pass_not_run,11,,,11,9,not_run,tblastn-regions+miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Brachionus koreanus,GCA_016987375.1,Scaffold,curator_present_in_clade_table;curator_genome_search;curator_present_floor;first_pass_not_run,9,,,9,9,not_run,tblastn-regions+miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Brachionus manjavacas,GCA_019054805.1,Scaffold,curator_present_in_clade_table;curator_genome_search;curator_present_floor;true_rescue,5,,,5,5,accepted=0;candidates=1,tblastn-regions+miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Caenorhabditis briggsae,GCF_000004555.2,Chromosome,reference_proteins,1,1,,,,,,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Caenorhabditis elegans,GCA_052911875.1,Complete Genome,reference_proteins,16,16,,,,,,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Drosophila melanogaster,GCA_038396815.1,Chromosome,reference_proteins;curator_present_in_clade_table;curator_genome_search;curator_present_floor;first_pass_not_run,17,8,,9,9,not_run,tblastn-regions+miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Dryodora glandiformis,GCA_031471255.1,Scaffold,legacy_discovery_accepted;curator_present_in_clade_table;curator_genome_search;curator_present_floor,16,,1,15,10,accepted=1;candidates=1,tblastn-regions+miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Ephydatia muelleri,GCA_049114765.1,,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Epiperipatus broadwayi,GCA_028023455.1,,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Eriophyidae sp.,GCA_045522265.1,Complete Genome,legacy_discovery_accepted;curator_present_in_clade_table;curator_genome_search;curator_present_floor,10,,1,9,8,accepted=1;candidates=1,tblastn-regions+miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Euperipatoides rowelli,GCA_003024985.2,,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Hormiphora californensis,GCA_020137815.1,,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Hypsibius dujardini,GCA_001579985.1,,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Hypsibius exemplaris,GCA_002082055.1,Scaffold,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Lepidodermella squamata,GCA_047495785.1,,curator_present_in_clade_table;curator_genome_search,1,,,1,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Mertensia ovum,GCA_965231305.1,Chromosome,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Mnemiopsis leidyi,GCA_048537945.1,,legacy_discovery_accepted;curator_genome_search;curator_no_present,1,,1,,0,accepted=1;candidates=1,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Paragordius varius,GCA_964276485.1,,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Paramacrobiotus metropolitanus,GCF_019649055.1,Scaffold,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Pleurobrachia bachei,GCA_046161365.1,,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Priapulus caudatus,GCF_000485595.1,,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Ramazzottius varieornatus,GCA_001949185.1,,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Rotaria macrura,GCA_900239685.1,,curator_present_in_clade_table;curator_genome_search;curator_present_floor;true_rescue,13,,,13,11,accepted=0;candidates=3,tblastn-regions+miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Schistocerca americana,GCF_021461395.2,Chromosome,reference_proteins,2,2,,,,,,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Scolanthus callimorphus,GCA_033964015.1,,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Seison nebaliae,GCA_023231475.1,,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Streblospio benedicti,GCA_019095985.1,,curator_present_in_clade_table;curator_genome_search;curator_present_floor;first_pass_not_run,16,,,16,15,not_run,tblastn-regions+miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Trichoplax adhaerens,GCF_000150275.1,,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Trichoplax sp. H2,GCA_003344405.1,Scaffold,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Triops cancriformis,GCA_020615345.1,,curator_present_in_clade_table;curator_genome_search;curator_present_floor;first_pass_not_run,8,,,8,6,not_run,tblastn-regions+miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
innexin,Tubiluchus corallicola,GCA_030141605.1,,curator_genome_search,,,,,0,not_run,miniprot,Analytical clade table = all_innexin_loci_annotated.csv; curator floors = innexin_search_summary/accepted_curator_loci.csv
pannexin,Anolis carolinensis,,,reference_panel_uniprot,3,3,,,,,,From pannexin_panel/sequence_metadata.csv. Protein accessions are UniProt; genome assembly often not applicable.
pannexin,Bos taurus,GCA_056748525.1,Chromosome,reference_panel_uniprot,3,3,,,,,,From pannexin_panel/sequence_metadata.csv. Protein accessions are UniProt; genome assembly often not applicable.
pannexin,Branchiostoma floridae,,,reference_panel_uniprot,2,2,,,,,,From pannexin_panel/sequence_metadata.csv. Protein accessions are UniProt; genome assembly often not applicable.
pannexin,Callorhinchus milii,,,reference_panel_uniprot,4,4,,,,,,From pannexin_panel/sequence_metadata.csv. Protein accessions are UniProt; genome assembly often not applicable.
pannexin,Danio rerio,GCF_049306965.1,Complete Genome,reference_panel_uniprot,3,3,,,,,,From pannexin_panel/sequence_metadata.csv. Protein accessions are UniProt; genome assembly often not applicable.
pannexin,Gallus gallus,GCA_057662215.1,Chromosome,reference_panel_uniprot,3,3,,,,,,From pannexin_panel/sequence_metadata.csv. Protein accessions are UniProt; genome assembly often not applicable.
pannexin,Homo sapiens,GCA_057084165.1,Chromosome,reference_panel_uniprot,3,3,,,,,,From pannexin_panel/sequence_metadata.csv. Protein accessions are UniProt; genome assembly often not applicable.
pannexin,Latimeria chalumnae,,,reference_panel_uniprot,3,3,,,,,,From pannexin_panel/sequence_metadata.csv. Protein accessions are UniProt; genome assembly often not applicable.
pannexin,Lepisosteus oculatus,,,reference_panel_uniprot,1,1,,,,,,From pannexin_panel/sequence_metadata.csv. Protein accessions are UniProt; genome assembly often not applicable.
pannexin,Mus musculus,GCA_056825265.1,Complete Genome,reference_panel_uniprot,3,3,,,,,,From pannexin_panel/sequence_metadata.csv. Protein accessions are UniProt; genome assembly often not applicable.
pannexin,Petromyzon marinus,,,reference_panel_uniprot,1,1,,,,,,From pannexin_panel/sequence_metadata.csv. Protein accessions are UniProt; genome assembly often not applicable.
pannexin,Podarcis muralis,,,reference_panel_uniprot,3,3,,,,,,From pannexin_panel/sequence_metadata.csv. Protein accessions are UniProt; genome assembly often not applicable.
pannexin,Rattus norvegicus,GCF_036323735.1,Chromosome,reference_panel_uniprot,3,3,,,,,,From pannexin_panel/sequence_metadata.csv. Protein accessions are UniProt; genome assembly often not applicable.
pannexin,Sus scrofa,GCA_057782405.1,Complete Genome,reference_panel_uniprot,3,3,,,,,,From pannexin_panel/sequence_metadata.csv. Protein accessions are UniProt; genome assembly often not applicable.
pannexin,Takifugu rubripes,,,reference_panel_uniprot,3,3,,,,,,From pannexin_panel/sequence_metadata.csv. Protein accessions are UniProt; genome assembly often not applicable.
pannexin,Xenopus laevis,GCF_017654675.1,Chromosome,reference_panel_uniprot,5,5,,,,,,From pannexin_panel/sequence_metadata.csv. Protein accessions are UniProt; genome assembly often not applicable.
pannexin,Xenopus tropicalis,GCF_000004195.4,Chromosome,reference_panel_uniprot,3,3,,,,,,From pannexin_panel/sequence_metadata.csv. Protein accessions are UniProt; genome assembly often not applicable.
