organism,family,exact_annotation_found,related_annotation_found,final_category,confidence,top_matching_term,database_source,search_level,top_accession,top_gene_symbol,top_protein_name,level_a_hit_count,level_b_hit_count,example_query
Adineta vaga,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Adineta vaga,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Aegaeobuthus cyprius,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Aegaeobuthus cyprius,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Aegaeobuthus cyprius,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Aelurillus cypriotus,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Aelurillus cypriotus,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Aelurillus cypriotus,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelas clathrodes,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelas clathrodes,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelas clathrodes,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelas conifera,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelas conifera,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelas conifera,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelas oroides,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelas oroides,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelas oroides,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelas tubulata,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelas tubulata,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelas tubulata,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelena orientalis,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelena orientalis,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelena orientalis,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Amaurobius ferox,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Amaurobius ferox,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Amaurobius ferox,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Amphimedon queenslandica,connexin,no,yes,related_or_family_like_entry_found,medium,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4-like",ncbi_gene,B,100641378,LOC100641378,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4-like",0,10,"""gap junction""[All Fields] AND ""Amphimedon queenslandica""[Organism]"
Amphimedon queenslandica,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0A1X7TBT4,109588697,Innexin,2,0,"organism_name:""Amphimedon queenslandica"" AND protein_name:innexin"
Amphimedon queenslandica,pannexin,no,yes,related_or_family_like_entry_found,medium,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4-like",ncbi_gene,B,100641378,LOC100641378,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4-like",0,10,"""gap junction""[All Fields] AND ""Amphimedon queenslandica""[Organism]"
Antygomonas paulae,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Antygomonas paulae,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Antygomonas paulae,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Aplysia californica,connexin,no,yes,related_or_family_like_entry_found,medium,innexin unc-9,ncbi_gene,B,101860339,LOC101860339,innexin unc-9,1,5,"""gap junction""[All Fields] AND ""Aplysia californica""[Organism]"
Aplysia californica,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0ABM0JSQ5,LOC101860339,Innexin,15,0,"organism_name:""Aplysia californica"" AND protein_name:innexin"
Aplysia californica,pannexin,yes,no,annotated_family_member_found,high,pannexin,uniprot,A,A0ABM0GHA1,LOC100533355,Pannexin 3,10,0,"organism_name:""Aplysia californica"" AND protein_name:pannexin"
Artemia franciscana,connexin,no,yes,related_or_family_like_entry_found,medium,Innexin family member shaking B,ncbi_gene,B,136041858,shakB,Innexin family member shaking B,0,5,"""gap junction""[All Fields] AND ""Artemia franciscana""[Organism]"
Artemia franciscana,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0AA88HGI7,inx,Innexin,17,0,"organism_name:""Artemia franciscana"" AND protein_name:innexin"
Artemia franciscana,pannexin,no,yes,related_or_family_like_entry_found,medium,Innexin family member shaking B,ncbi_gene,B,136041858,shakB,Innexin family member shaking B,0,5,"""gap junction""[All Fields] AND ""Artemia franciscana""[Organism]"
Bathyporeia elegans,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Bathyporeia elegans,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Bathyporeia elegans,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Beroe forskalii,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Beroe forskalii,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Beroe forskalii,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Beroe ovata,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Beroe ovata,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Beroe ovata,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Bolinopsis microptera,connexin,no,yes,related_or_family_like_entry_found,medium,innexin inx2-like,ncbi_gene,B,134825064,LOC134825064,innexin inx2-like,1,5,"""gap junction""[All Fields] AND ""Bolinopsis microptera""[Organism]"
Bolinopsis microptera,innexin,yes,no,annotated_family_member_found,high,innexin,ncbi_gene,A,134826076,LOC134826076,innexin shaking-B-like,5,0,"innexin[All Fields] AND ""Bolinopsis microptera""[Organism]"
Bolinopsis microptera,pannexin,no,yes,related_or_family_like_entry_found,medium,innexin inx2-like,ncbi_gene,B,134825064,LOC134825064,innexin inx2-like,0,5,"""gap junction""[All Fields] AND ""Bolinopsis microptera""[Organism]"
Brachionus calyciflorus,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Brachionus calyciflorus,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0A813M066,inx,Innexin,10,0,"organism_name:""Brachionus calyciflorus"" AND protein_name:innexin"
Brachionus calyciflorus,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Brachionus koreanus,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Brachionus koreanus,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Brachionus koreanus,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Brachionus manjavacas,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Brachionus manjavacas,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Brachionus manjavacas,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Capitella teleta,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Capitella teleta,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,R7T8F9,inx,Innexin,10,0,"organism_name:""Capitella teleta"" AND protein_name:innexin"
Capitella teleta,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Chordodes formosanus,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Chordodes formosanus,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Chordodes formosanus,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Crassostrea virginica,connexin,no,yes,related_or_family_like_entry_found,medium,gamma-tubulin complex component 6-like,ncbi_gene,B,111136780,LOC111136780,gamma-tubulin complex component 6-like,1,10,"""gap junction""[All Fields] AND ""Crassostrea virginica""[Organism]"
Crassostrea virginica,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0A8B8AWX7,LOC111105603,Innexin,15,0,"organism_name:""Crassostrea virginica"" AND protein_name:innexin"
Crassostrea virginica,pannexin,no,yes,related_or_family_like_entry_found,medium,gamma-tubulin complex component 6-like,ncbi_gene,B,111136780,LOC111136780,gamma-tubulin complex component 6-like,0,10,"""gap junction""[All Fields] AND ""Crassostrea virginica""[Organism]"
Daphnia magna,connexin,no,yes,related_or_family_like_entry_found,medium,Innexin family member shaking B,ncbi_gene,B,116931864,shakB,Innexin family member shaking B,0,5,"""gap junction""[All Fields] AND ""Daphnia magna""[Organism]"
Daphnia magna,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0A0P5Z3Z4,inx,Innexin,19,0,"organism_name:""Daphnia magna"" AND protein_name:innexin"
Daphnia magna,pannexin,no,yes,related_or_family_like_entry_found,medium,Innexin family member shaking B,ncbi_gene,B,116931864,shakB,Innexin family member shaking B,0,5,"""gap junction""[All Fields] AND ""Daphnia magna""[Organism]"
Daphnia pulex,connexin,no,yes,related_or_family_like_entry_found,medium,Innexin family member shaking B,ncbi_gene,B,124203188,shakB,Innexin family member shaking B,0,5,"""gap junction""[All Fields] AND ""Daphnia pulex""[Organism]"
Daphnia pulex,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,E9H085,inx,Innexin,17,0,"organism_name:""Daphnia pulex"" AND protein_name:innexin"
Daphnia pulex,pannexin,no,yes,related_or_family_like_entry_found,medium,Innexin family member shaking B,ncbi_gene,B,124203188,shakB,Innexin family member shaking B,0,5,"""gap junction""[All Fields] AND ""Daphnia pulex""[Organism]"
Dimorphilus gyrociliatus,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Dimorphilus gyrociliatus,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0A7I8VSA8,inx,Innexin,10,0,"organism_name:""Dimorphilus gyrociliatus"" AND protein_name:innexin"
Dimorphilus gyrociliatus,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Dryodora glandiformis,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Dryodora glandiformis,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Dryodora glandiformis,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Echinoderes svetlanae,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Echinoderes svetlanae,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Echinoderes svetlanae,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Ephydatia muelleri,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Ephydatia muelleri,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Ephydatia muelleri,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Epiperipatus broadwayi,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Epiperipatus broadwayi,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Epiperipatus broadwayi,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Eriocheir sinensis,connexin,no,yes,related_or_family_like_entry_found,medium,innexin inx2-like,ncbi_gene,B,126985430,LOC126985430,innexin inx2-like,0,5,"""gap junction""[All Fields] AND ""Eriocheir sinensis""[Organism]"
Eriocheir sinensis,innexin,yes,no,annotated_family_member_found,high,innexin,ncbi_gene,A,126985430,LOC126985430,innexin inx2-like,5,0,"innexin[All Fields] AND ""Eriocheir sinensis""[Organism]"
Eriocheir sinensis,pannexin,no,yes,related_or_family_like_entry_found,medium,innexin inx2-like,ncbi_gene,B,126985430,LOC126985430,innexin inx2-like,0,5,"""gap junction""[All Fields] AND ""Eriocheir sinensis""[Organism]"
Eriophyidae sp.,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Eriophyidae sp.,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Eriophyidae sp.,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Euperipatoides rowelli,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Euperipatoides rowelli,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Euperipatoides rowelli,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Exaiptasia diaphana,connexin,no,yes,related_or_family_like_entry_found,medium,A-kinase anchor protein 9,ncbi_gene,B,110253982,LOC110253982,A-kinase anchor protein 9,3,10,"""gap junction""[All Fields] AND ""Exaiptasia diaphana""[Organism]"
Exaiptasia diaphana,innexin,no,yes,related_or_family_like_entry_found,medium,A-kinase anchor protein 9,ncbi_gene,B,110253982,LOC110253982,A-kinase anchor protein 9,0,10,"""gap junction""[All Fields] AND ""Exaiptasia diaphana""[Organism]"
Exaiptasia diaphana,pannexin,yes,no,annotated_family_member_found,high,pannexin,uniprot,A,A0A913YVM6,,LRRC8 pannexin-like TM region domain-containing protein,10,0,"organism_name:""Exaiptasia diaphana"" AND protein_name:pannexin"
Gordius robustus,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Gordius robustus,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Gordius robustus,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Halicryptus spinulosus,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Halicryptus spinulosus,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Halicryptus spinulosus,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Helobdella robusta,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Helobdella robusta,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,T1EFQ7,20195409,Innexin,15,0,"organism_name:""Helobdella robusta"" AND protein_name:innexin"
Helobdella robusta,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Hoilungia hongkongensis,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Hoilungia hongkongensis,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Hoilungia hongkongensis,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Hormiphora californensis,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Hormiphora californensis,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Hormiphora californensis,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Hydra vulgaris,connexin,no,yes,related_or_family_like_entry_found,medium,innexin inx1-like,ncbi_gene,B,100197789,LOC100197789,innexin inx1-like,1,5,"""gap junction""[All Fields] AND ""Hydra vulgaris""[Organism]"
Hydra vulgaris,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0A0H5FN97,INX10,Innexin,20,0,"organism_name:""Hydra vulgaris"" AND protein_name:innexin"
Hydra vulgaris,pannexin,no,yes,related_or_family_like_entry_found,medium,innexin inx1-like,ncbi_gene,B,100197789,LOC100197789,innexin inx1-like,0,5,"""gap junction""[All Fields] AND ""Hydra vulgaris""[Organism]"
Hymenolepis microstoma,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Hymenolepis microstoma,innexin,yes,no,annotated_family_member_found,high,innexin,ncbi_protein,A,CDS26018.2,innexin,innexin [Hymenolepis microstoma],0,0,"innexin[Title] AND ""Hymenolepis microstoma""[Organism]"
Hymenolepis microstoma,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Hypsibius dujardini,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Hypsibius dujardini,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Hypsibius dujardini,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Hypsibius exemplaris,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Hypsibius exemplaris,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Hypsibius exemplaris,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Ixodes scapularis,connexin,no,yes,related_or_family_like_entry_found,medium,innexin inx2,ncbi_gene,B,115320817,LOC115320817,innexin inx2,0,5,"""gap junction""[All Fields] AND ""Ixodes scapularis""[Organism]"
Ixodes scapularis,innexin,yes,no,annotated_family_member_found,high,innexin,ncbi_gene,A,115320817,LOC115320817,innexin inx2,5,0,"innexin[All Fields] AND ""Ixodes scapularis""[Organism]"
Ixodes scapularis,pannexin,no,yes,related_or_family_like_entry_found,medium,innexin inx2,ncbi_gene,B,115320817,LOC115320817,innexin inx2,0,5,"""gap junction""[All Fields] AND ""Ixodes scapularis""[Organism]"
Lanice conchilega,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Lanice conchilega,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Lanice conchilega,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Lepidodermella squamata,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Lepidodermella squamata,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Lepidodermella squamata,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Limulus polyphemus,connexin,no,yes,related_or_family_like_entry_found,medium,DEAH-box helicase 16 lethal (2) 37Cb,ncbi_gene,B,106469029,l(2)37Cb,DEAH-box helicase 16 lethal (2) 37Cb,0,10,"""gap junction""[All Fields] AND ""Limulus polyphemus""[Organism]"
Limulus polyphemus,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0ABM1B2P6,LOC106458602,Innexin,15,0,"organism_name:""Limulus polyphemus"" AND protein_name:innexin"
Limulus polyphemus,pannexin,no,yes,related_or_family_like_entry_found,medium,DEAH-box helicase 16 lethal (2) 37Cb,ncbi_gene,B,106469029,l(2)37Cb,DEAH-box helicase 16 lethal (2) 37Cb,0,10,"""gap junction""[All Fields] AND ""Limulus polyphemus""[Organism]"
Liocarcinus depurator,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Liocarcinus depurator,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Liocarcinus depurator,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Lottia gigantea,connexin,no,yes,related_or_family_like_entry_found,medium,hypothetical protein,ncbi_gene,B,20250066,LOTGIDRAFT_236164,hypothetical protein,1,5,"""gap junction""[All Fields] AND ""Lottia gigantea""[Organism]"
Lottia gigantea,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,V3ZLC5,inx,Innexin,15,0,"organism_name:""Lottia gigantea"" AND protein_name:innexin"
Lottia gigantea,pannexin,no,yes,related_or_family_like_entry_found,medium,hypothetical protein,ncbi_gene,B,20250066,LOTGIDRAFT_236164,hypothetical protein,1,6,"""gap junction""[All Fields] AND ""Lottia gigantea""[Organism]"
Macoma balthica,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Macoma balthica,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Macoma balthica,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Macrodasys sp.,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Macrodasys sp.,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Macrodasys sp.,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Meiopriapulus fijiensis,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Meiopriapulus fijiensis,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Meiopriapulus fijiensis,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Mertensia ovum,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Mertensia ovum,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Mertensia ovum,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Mizuhopecten yessoensis,connexin,no,yes,related_or_family_like_entry_found,medium,WW domain-binding protein 4-like,ncbi_gene,B,110465441,LOC110465441,WW domain-binding protein 4-like,1,10,"""gap junction""[All Fields] AND ""Mizuhopecten yessoensis""[Organism]"
Mizuhopecten yessoensis,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0A210PLR5,inx,Innexin,15,0,"organism_name:""Mizuhopecten yessoensis"" AND protein_name:innexin"
Mizuhopecten yessoensis,pannexin,no,yes,related_or_family_like_entry_found,medium,WW domain-binding protein 4-like,ncbi_gene,B,110465441,LOC110465441,WW domain-binding protein 4-like,2,12,"""gap junction""[All Fields] AND ""Mizuhopecten yessoensis""[Organism]"
Mnemiopsis leidyi,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Mnemiopsis leidyi,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Mnemiopsis leidyi,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Nematostella vectensis,connexin,no,no,no_related_entry_found,,,,,,,,1,0,
Nematostella vectensis,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A7SWW1,,Innexin,1,0,"organism_name:""Nematostella vectensis"" AND protein_name:innexin"
Nematostella vectensis,pannexin,yes,no,annotated_family_member_found,high,pannexin,uniprot,A,A7SDM1,,LRRC8 pannexin-like TM region domain-containing protein,5,0,"organism_name:""Nematostella vectensis"" AND protein_name:pannexin"
Nephtys caeca,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Nephtys caeca,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Nephtys caeca,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Nephtys hombergii,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Nephtys hombergii,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Nephtys hombergii,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Nephtys longosetosa,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Nephtys longosetosa,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Nephtys longosetosa,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Octopus bimaculoides,connexin,no,yes,related_or_family_like_entry_found,medium,innexin unc-9,ncbi_gene,B,106874682,LOC106874682,innexin unc-9,0,1,"""gap junction""[All Fields] AND ""Octopus bimaculoides""[Organism]"
Octopus bimaculoides,innexin,yes,no,annotated_family_member_found,high,innexin,ncbi_gene,A,106874682,LOC106874682,innexin unc-9,5,0,"innexin[All Fields] AND ""Octopus bimaculoides""[Organism]"
Octopus bimaculoides,pannexin,no,yes,related_or_family_like_entry_found,medium,innexin unc-9,ncbi_gene,B,106874682,LOC106874682,innexin unc-9,0,1,"""gap junction""[All Fields] AND ""Octopus bimaculoides""[Organism]"
Ophelia borealis,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Ophelia borealis,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Ophelia borealis,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Owenia fusiformis,connexin,yes,no,annotated_family_member_found,high,connexin,uniprot,A,A0A8S4PV14,,Connexin cysteine-rich domain-containing protein,5,0,"organism_name:""Owenia fusiformis"" AND protein_name:connexin"
Owenia fusiformis,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0A8J1YA83,inx,Innexin,10,0,"organism_name:""Owenia fusiformis"" AND protein_name:innexin"
Owenia fusiformis,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Parachordodes pustulosus,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Parachordodes pustulosus,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Parachordodes pustulosus,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Paragordius varius,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Paragordius varius,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Paragordius varius,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Paramacrobiotus metropolitanus,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Paramacrobiotus metropolitanus,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Paramacrobiotus metropolitanus,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Parasteatoda tepidariorum,connexin,no,yes,related_or_family_like_entry_found,medium,GIGYF family protein Gyf,ncbi_gene,B,107449138,LOC107449138,GIGYF family protein Gyf,0,7,"""gap junction""[All Fields] AND ""Parasteatoda tepidariorum""[Organism]"
