family,file_path,header,accession,protein_name,gene_name,organism,review_status,protein_existence,annotation_score,sequence_length,assembly_accession,assembly_level,assembly_name,refseq_or_genbank,contig_n50,scaffold_n50,annotation_available,assembly_status,quality_flag,error
innexin,project/data/references/innexins/Caenorhabditis_elegans/inx-17__O61788.fasta,>sp|O61788|INX17_CAEEL Innexin-17 OS=Caenorhabditis elegans OX=6239 GN=inx-17 PE=2 SV=1,O61788,Innexin-17,inx-17,Caenorhabditis elegans,reviewed,2,3.0,362,GCA_052911875.1,Complete Genome,C.elegans_CGC1_1.0,GenBank,,,yes,Complete Genome,medium,
innexin,project/data/references/innexins/Caenorhabditis_elegans/inx-19__O61715.fasta,>sp|O61715|INX19_CAEEL Innexin-19 OS=Caenorhabditis elegans OX=6239 GN=inx-19 PE=1 SV=2,O61715,Innexin-19,inx-19,Caenorhabditis elegans,reviewed,1,5.0,454,GCA_052911875.1,Complete Genome,C.elegans_CGC1_1.0,GenBank,,,yes,Complete Genome,medium,
innexin,project/data/references/innexins/Caenorhabditis_elegans/inx-2__Q9U3K5.fasta,>sp|Q9U3K5|INX2_CAEEL Innexin-2 OS=Caenorhabditis elegans OX=6239 GN=inx-2 PE=2 SV=2,Q9U3K5,Innexin-2,inx-2,Caenorhabditis elegans,reviewed,2,2.0,419,GCA_052911875.1,Complete Genome,C.elegans_CGC1_1.0,GenBank,,,yes,Complete Genome,medium,
innexin,project/data/references/innexins/Caenorhabditis_elegans/inx-3__Q19746.fasta,>sp|Q19746|INX3_CAEEL Innexin-3 OS=Caenorhabditis elegans OX=6239 GN=inx-3 PE=1 SV=2,Q19746,Innexin-3,inx-3,Caenorhabditis elegans,reviewed,1,5.0,420,GCA_052911875.1,Complete Genome,C.elegans_CGC1_1.0,GenBank,,,yes,Complete Genome,medium,
innexin,project/data/references/innexins/Caenorhabditis_elegans/inx-5__Q23027.fasta,>sp|Q23027|INX5_CAEEL Innexin-5 OS=Caenorhabditis elegans OX=6239 GN=inx-5 PE=3 SV=2,Q23027,Innexin-5,inx-5,Caenorhabditis elegans,reviewed,3,3.0,447,GCA_052911875.1,Complete Genome,C.elegans_CGC1_1.0,GenBank,,,yes,Complete Genome,medium,
innexin,project/data/references/innexins/Caenorhabditis_elegans/inx-6__Q9U3N4.fasta,>sp|Q9U3N4|INX6_CAEEL Innexin-6 OS=Caenorhabditis elegans OX=6239 GN=inx-6 PE=1 SV=1,Q9U3N4,Innexin-6,inx-6,Caenorhabditis elegans,reviewed,1,2.0,389,GCA_052911875.1,Complete Genome,C.elegans_CGC1_1.0,GenBank,,,yes,Complete Genome,medium,
innexin,project/data/references/innexins/Caenorhabditis_elegans/inx-7__Q21123.fasta,>sp|Q21123|INX7_CAEEL Innexin-7 OS=Caenorhabditis elegans OX=6239 GN=inx-7 PE=1 SV=1,Q21123,Innexin-7,inx-7,Caenorhabditis elegans,reviewed,1,3.0,556,GCA_052911875.1,Complete Genome,C.elegans_CGC1_1.0,GenBank,,,yes,Complete Genome,medium,
innexin,project/data/references/innexins/Caenorhabditis_elegans/inx-8__Q23593.fasta,>sp|Q23593|INX8_CAEEL Innexin-8 OS=Caenorhabditis elegans OX=6239 GN=inx-8 PE=3 SV=2,Q23593,Innexin-8,inx-8,Caenorhabditis elegans,reviewed,3,3.0,382,GCA_052911875.1,Complete Genome,C.elegans_CGC1_1.0,GenBank,,,yes,Complete Genome,medium,
innexin,project/data/references/innexins/Caenorhabditis_elegans/unc-7__Q03412.fasta,>sp|Q03412|UNC7_CAEEL Innexin unc-7 OS=Caenorhabditis elegans OX=6239 GN=unc-7 PE=1 SV=1,Q03412,Innexin unc-7,unc-7,Caenorhabditis elegans,reviewed,1,5.0,522,GCA_052911875.1,Complete Genome,C.elegans_CGC1_1.0,GenBank,,,yes,Complete Genome,medium,
innexin,project/data/references/innexins/Caenorhabditis_elegans/unc-9__O01393.fasta,>sp|O01393|UNC9_CAEEL Innexin unc-9 OS=Caenorhabditis elegans OX=6239 GN=unc-9 PE=1 SV=1,O01393,Innexin unc-9,unc-9,Caenorhabditis elegans,reviewed,1,4.0,386,GCA_052911875.1,Complete Genome,C.elegans_CGC1_1.0,GenBank,,,yes,Complete Genome,medium,
innexin,project/data/references/innexins/Drosophila_melanogaster/Inx2__Q9V427.fasta,>sp|Q9V427|INX2_DROME Innexin inx2 OS=Drosophila melanogaster OX=7227 GN=Inx2 PE=1 SV=1,Q9V427,Innexin inx2,Inx2,Drosophila melanogaster,reviewed,1,5.0,367,GCA_038396815.1,Chromosome,Drosophila melanogaster ANU-1,GenBank,,,yes,Chromosome,medium,
innexin,project/data/references/innexins/Drosophila_melanogaster/Inx3__Q9VAS7.fasta,>sp|Q9VAS7|INX3_DROME Innexin inx3 OS=Drosophila melanogaster OX=7227 GN=Inx3 PE=1 SV=1,Q9VAS7,Innexin inx3,Inx3,Drosophila melanogaster,reviewed,1,5.0,395,GCA_038396815.1,Chromosome,Drosophila melanogaster ANU-1,GenBank,,,yes,Chromosome,medium,
innexin,project/data/references/innexins/Drosophila_melanogaster/Inx5__Q9VWL5.fasta,>sp|Q9VWL5|INX5_DROME Innexin inx5 OS=Drosophila melanogaster OX=7227 GN=Inx5 PE=2 SV=2,Q9VWL5,Innexin inx5,Inx5,Drosophila melanogaster,reviewed,2,3.0,419,GCA_038396815.1,Chromosome,Drosophila melanogaster ANU-1,GenBank,,,yes,Chromosome,medium,
innexin,project/data/references/innexins/Drosophila_melanogaster/Inx6__Q9VR82.fasta,>sp|Q9VR82|INX6_DROME Innexin inx6 OS=Drosophila melanogaster OX=7227 GN=Inx6 PE=2 SV=1,Q9VR82,Innexin inx6,Inx6,Drosophila melanogaster,reviewed,2,4.0,481,GCA_038396815.1,Chromosome,Drosophila melanogaster ANU-1,GenBank,,,yes,Chromosome,medium,
innexin,project/data/references/innexins/Drosophila_melanogaster/Inx7__Q9V3W6.fasta,>sp|Q9V3W6|INX7_DROME Innexin inx7 OS=Drosophila melanogaster OX=7227 GN=Inx7 PE=2 SV=1,Q9V3W6,Innexin inx7,Inx7,Drosophila melanogaster,reviewed,2,4.0,438,GCA_038396815.1,Chromosome,Drosophila melanogaster ANU-1,GenBank,,,yes,Chromosome,medium,
innexin,project/data/references/innexins/Drosophila_melanogaster/ogre__P27716.fasta,>sp|P27716|INX1_DROME Innexin inx1 OS=Drosophila melanogaster OX=7227 GN=ogre PE=1 SV=1,P27716,Innexin inx1,ogre,Drosophila melanogaster,reviewed,1,5.0,362,GCA_038396815.1,Chromosome,Drosophila melanogaster ANU-1,GenBank,,,yes,Chromosome,medium,
innexin,project/data/references/innexins/Drosophila_melanogaster/shakB__P33085.fasta,>sp|P33085|SHAKB_DROME Innexin shaking-B OS=Drosophila melanogaster OX=7227 GN=shakB PE=1 SV=3,P33085,Innexin shaking-B,shakB,Drosophila melanogaster,reviewed,1,5.0,372,GCA_038396815.1,Chromosome,Drosophila melanogaster ANU-1,GenBank,,,yes,Chromosome,medium,
innexin,project/data/references/innexins/Drosophila_melanogaster/zpg__Q9VRX6.fasta,>sp|Q9VRX6|INX4_DROME Innexin inx4 OS=Drosophila melanogaster OX=7227 GN=zpg PE=2 SV=1,Q9VRX6,Innexin inx4,zpg,Drosophila melanogaster,reviewed,2,5.0,367,GCA_038396815.1,Chromosome,Drosophila melanogaster ANU-1,GenBank,,,yes,Chromosome,medium,
innexin,project/data/references/innexins/Schistocerca_americana/inx1__Q9XYN0.fasta,>sp|Q9XYN0|INX1_SCHAM Innexin inx1 OS=Schistocerca americana OX=7009 GN=inx1 PE=1 SV=1,Q9XYN0,Innexin inx1,inx1,Schistocerca americana,reviewed,1,3.0,361,GCF_021461395.2,Chromosome,iqSchAmer2.1,RefSeq,,,yes,Chromosome,medium,
innexin,project/data/references/innexins/Schistocerca_americana/inx2__Q9XYN1.fasta,>sp|Q9XYN1|INX2_SCHAM Innexin inx2 OS=Schistocerca americana OX=7009 GN=inx2 PE=1 SV=1,Q9XYN1,Innexin inx2,inx2,Schistocerca americana,reviewed,1,3.0,359,GCF_021461395.2,Chromosome,iqSchAmer2.1,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Bos_taurus/GJA1__P18246.fasta,>sp|P18246|CXA1_BOVIN Gap junction alpha-1 protein OS=Bos taurus OX=9913 GN=GJA1 PE=2 SV=2,P18246,Gap junction alpha-1 protein,GJA1,Bos taurus,reviewed,2,5.0,383,GCA_056748525.1,Chromosome,ASM5674852v1,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Bos_taurus/GJA3__P41987.fasta,>sp|P41987|CXA3_BOVIN Gap junction alpha-3 protein OS=Bos taurus OX=9913 GN=GJA3 PE=2 SV=3,P41987,Gap junction alpha-3 protein,GJA3,Bos taurus,reviewed,2,5.0,407,GCA_056748525.1,Chromosome,ASM5674852v1,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Bos_taurus/GJA4__A4IFL1.fasta,>sp|A4IFL1|CXA4_BOVIN Gap junction alpha-4 protein OS=Bos taurus OX=9913 GN=GJA4 PE=2 SV=1,A4IFL1,Gap junction alpha-4 protein,GJA4,Bos taurus,reviewed,2,3.0,333,GCA_056748525.1,Chromosome,ASM5674852v1,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Bos_taurus/GJA5__Q0VCR2.fasta,>sp|Q0VCR2|CXA5_BOVIN Gap junction alpha-5 protein OS=Bos taurus OX=9913 GN=GJA5 PE=2 SV=1,Q0VCR2,Gap junction alpha-5 protein,GJA5,Bos taurus,reviewed,2,3.0,359,GCA_056748525.1,Chromosome,ASM5674852v1,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Bos_taurus/GJB1__O18968.fasta,>sp|O18968|CXB1_BOVIN Gap junction beta-1 protein OS=Bos taurus OX=9913 GN=GJB1 PE=2 SV=1,O18968,Gap junction beta-1 protein,GJB1,Bos taurus,reviewed,2,3.0,284,GCA_056748525.1,Chromosome,ASM5674852v1,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Bos_taurus/GJB2__A2VE67.fasta,>sp|A2VE67|CXB2_BOVIN Gap junction beta-2 protein OS=Bos taurus OX=9913 GN=GJB2 PE=2 SV=1,A2VE67,Gap junction beta-2 protein,GJB2,Bos taurus,reviewed,2,3.0,226,GCA_056748525.1,Chromosome,ASM5674852v1,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Bos_taurus/GJB3__Q58D78.fasta,>sp|Q58D78|CXB3_BOVIN Gap junction beta-3 protein OS=Bos taurus OX=9913 GN=GJB3 PE=2 SV=2,Q58D78,Gap junction beta-3 protein,GJB3,Bos taurus,reviewed,2,3.0,270,GCA_056748525.1,Chromosome,ASM5674852v1,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Bos_taurus/GJD2__Q866T7.fasta,>sp|Q866T7|CXD2_BOVIN Gap junction delta-2 protein OS=Bos taurus OX=9913 GN=GJD2 PE=2 SV=1,Q866T7,Gap junction delta-2 protein,GJD2,Bos taurus,reviewed,2,3.0,321,GCA_056748525.1,Chromosome,ASM5674852v1,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Canis_lupus_familiaris/GJA1__Q6S9C0.fasta,>sp|Q6S9C0|CXA1_CANLF Gap junction alpha-1 protein OS=Canis lupus familiaris OX=9615 GN=GJA1 PE=2 SV=3,Q6S9C0,Gap junction alpha-1 protein,GJA1,Canis lupus familiaris,reviewed,2,5.0,382,GCA_057128235.1,Chromosome,ASM5712823v1,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Canis_lupus_familiaris/GJA5__P33725.fasta,>sp|P33725|CXA5_CANLF Gap junction alpha-5 protein OS=Canis lupus familiaris OX=9615 GN=GJA5 PE=2 SV=4,P33725,Gap junction alpha-5 protein,GJA5,Canis lupus familiaris,reviewed,2,5.0,358,GCA_057128235.1,Chromosome,ASM5712823v1,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Canis_lupus_familiaris/GJC1__P28228.fasta,>sp|P28228|CXG1_CANLF Gap junction gamma-1 protein OS=Canis lupus familiaris OX=9615 GN=GJC1 PE=3 SV=1,P28228,Gap junction gamma-1 protein,GJC1,Canis lupus familiaris,reviewed,3,3.0,396,GCA_057128235.1,Chromosome,ASM5712823v1,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Chlorocebus_sabaeus/GJA1__Q6TYA9.fasta,>sp|Q6TYA9|CXA1_CHLAE Gap junction alpha-1 protein OS=Chlorocebus aethiops OX=9534 GN=GJA1 PE=1 SV=1,Q6TYA9,Gap junction alpha-1 protein,GJA1,Chlorocebus aethiops,reviewed,1,5.0,382,GCA_030247385.1,Scaffold,ASM3024738v1,GenBank,,,yes,Scaffold,medium,
connexin,project/data/references/connexins/Cricetulus_griseus/GJC1__Q6R4A8.fasta,>sp|Q6R4A8|CXG1_CRIGR Gap junction gamma-1 protein OS=Cricetulus griseus OX=10029 GN=GJC1 PE=2 SV=1,Q6R4A8,Gap junction gamma-1 protein,GJC1,Cricetulus griseus,reviewed,2,4.0,396,GCF_003668045.3,Chromosome,CriGri-PICRH-1.0,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Danio_rerio/cx23__U3JA75.fasta,>sp|U3JA75|CXE1_DANRE Gap junction epsilon-1 protein OS=Danio rerio OX=7955 GN=cx23 PE=2 SV=1,U3JA75,Gap junction epsilon-1 protein,cx23,Danio rerio,reviewed,2,3.0,207,GCF_049306965.1,Complete Genome,GRCz12tu,RefSeq,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Danio_rerio/cx32.2__Q7T047.fasta,>sp|Q7T047|CX32_DANRE Gap junction Cx32.2 protein OS=Danio rerio OX=7955 GN=cx32.2 PE=2 SV=4,Q7T047,Gap junction Cx32.2 protein,cx32.2,Danio rerio,reviewed,2,3.0,277,GCF_049306965.1,Complete Genome,GRCz12tu,RefSeq,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Danio_rerio/gja1__O57474.fasta,>sp|O57474|CXA1_DANRE Gap junction alpha-1 protein OS=Danio rerio OX=7955 GN=gja1 PE=1 SV=3,O57474,Gap junction alpha-1 protein,gja1,Danio rerio,reviewed,1,5.0,381,GCF_049306965.1,Complete Genome,GRCz12tu,RefSeq,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Danio_rerio/gjc1__Q92052.fasta,>sp|Q92052|CXG1_DANRE Gap junction gamma-1 protein OS=Danio rerio OX=7955 GN=gjc1 PE=2 SV=1,Q92052,Gap junction gamma-1 protein,gjc1,Danio rerio,reviewed,2,4.0,380,GCF_049306965.1,Complete Genome,GRCz12tu,RefSeq,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Equus_caballus/GJB1__Q6WGK6.fasta,>sp|Q6WGK6|CXB1_HORSE Gap junction beta-1 protein OS=Equus caballus OX=9796 GN=GJB1 PE=2 SV=1,Q6WGK6,Gap junction beta-1 protein,GJB1,Equus caballus,reviewed,2,3.0,283,GCF_041296265.1,Chromosome,TB-T2T,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Erinaceus_europaeus/GJA1__Q6TYA8.fasta,>sp|Q6TYA8|CXA1_ERIEU Gap junction alpha-1 protein OS=Erinaceus europaeus OX=9365 GN=GJA1 PE=3 SV=1,Q6TYA8,Gap junction alpha-1 protein,GJA1,Erinaceus europaeus,reviewed,3,5.0,382,GCF_950295315.1,Chromosome,mEriEur2.1,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Gallus_gallus/GJA1__P14154.fasta,>sp|P14154|CXA1_CHICK Gap junction alpha-1 protein OS=Gallus gallus OX=9031 GN=GJA1 PE=2 SV=3,P14154,Gap junction alpha-1 protein,GJA1,Gallus gallus,reviewed,2,4.0,381,GCA_057662215.1,Chromosome,ASM5766221v1,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Gallus_gallus/GJA3__P29415.fasta,>sp|P29415|CXA3_CHICK Gap junction alpha-3 protein OS=Gallus gallus OX=9031 GN=GJA3 PE=1 SV=3,P29415,Gap junction alpha-3 protein,GJA3,Gallus gallus,reviewed,1,4.0,511,GCA_057662215.1,Chromosome,ASM5766221v1,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Gallus_gallus/GJA5__P18860.fasta,>sp|P18860|CXA5_CHICK Gap junction alpha-5 protein OS=Gallus gallus OX=9031 GN=GJA5 PE=2 SV=2,P18860,Gap junction alpha-5 protein,GJA5,Gallus gallus,reviewed,2,4.0,369,GCA_057662215.1,Chromosome,ASM5766221v1,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Gallus_gallus/GJA8__P36381.fasta,>sp|P36381|CXA8_CHICK Gap junction alpha-8 protein OS=Gallus gallus OX=9031 GN=GJA8 PE=1 SV=2,P36381,Gap junction alpha-8 protein,GJA8,Gallus gallus,reviewed,1,5.0,400,GCA_057662215.1,Chromosome,ASM5766221v1,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Gallus_gallus/GJB6__O93533.fasta,>sp|O93533|CXB6_CHICK Gap junction beta-6 protein OS=Gallus gallus OX=9031 GN=GJB6 PE=2 SV=1,O93533,Gap junction beta-6 protein,GJB6,Gallus gallus,reviewed,2,3.0,263,GCA_057662215.1,Chromosome,ASM5766221v1,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Gallus_gallus/GJC1__P18861.fasta,>sp|P18861|CXG1_CHICK Gap junction gamma-1 protein OS=Gallus gallus OX=9031 GN=GJC1 PE=2 SV=1,P18861,Gap junction gamma-1 protein,GJC1,Gallus gallus,reviewed,2,5.0,394,GCA_057662215.1,Chromosome,ASM5766221v1,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Gorilla_gorilla_gorilla/GJB2__Q8MHW5.fasta,>sp|Q8MHW5|CXB2_GORGO Gap junction beta-2 protein OS=Gorilla gorilla gorilla OX=9595 GN=GJB2 PE=3 SV=1,Q8MHW5,Gap junction beta-2 protein,GJB2,Gorilla gorilla gorilla,reviewed,3,3.0,226,GCF_029281585.2,Chromosome,NHGRI_mGorGor1-v2.1_pri,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Homo_sapiens/GJA10__Q969M2.fasta,>sp|Q969M2|CXA10_HUMAN Gap junction alpha-10 protein OS=Homo sapiens OX=9606 GN=GJA10 PE=2 SV=1,Q969M2,Gap junction alpha-10 protein,GJA10,Homo sapiens,reviewed,2,4.0,543,GCA_057084165.1,Chromosome,HG03453_haplotype2_hprc_rel2_verkko2_supp,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Homo_sapiens/GJA1__P17302.fasta,>sp|P17302|CXA1_HUMAN Gap junction alpha-1 protein OS=Homo sapiens OX=9606 GN=GJA1 PE=1 SV=2,P17302,Gap junction alpha-1 protein,GJA1,Homo sapiens,reviewed,1,5.0,382,GCA_057084165.1,Chromosome,HG03453_haplotype2_hprc_rel2_verkko2_supp,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Homo_sapiens/GJA3__Q9Y6H8.fasta,>sp|Q9Y6H8|CXA3_HUMAN Gap junction alpha-3 protein OS=Homo sapiens OX=9606 GN=GJA3 PE=1 SV=4,Q9Y6H8,Gap junction alpha-3 protein,GJA3,Homo sapiens,reviewed,1,5.0,435,GCA_057084165.1,Chromosome,HG03453_haplotype2_hprc_rel2_verkko2_supp,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Homo_sapiens/GJA4__P35212.fasta,>sp|P35212|CXA4_HUMAN Gap junction alpha-4 protein OS=Homo sapiens OX=9606 GN=GJA4 PE=1 SV=3,P35212,Gap junction alpha-4 protein,GJA4,Homo sapiens,reviewed,1,5.0,333,GCA_057084165.1,Chromosome,HG03453_haplotype2_hprc_rel2_verkko2_supp,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Homo_sapiens/GJA5__P36382.fasta,>sp|P36382|CXA5_HUMAN Gap junction alpha-5 protein OS=Homo sapiens OX=9606 GN=GJA5 PE=1 SV=3,P36382,Gap junction alpha-5 protein,GJA5,Homo sapiens,reviewed,1,5.0,358,GCA_057084165.1,Chromosome,HG03453_haplotype2_hprc_rel2_verkko2_supp,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Homo_sapiens/GJA8__P48165.fasta,>sp|P48165|CXA8_HUMAN Gap junction alpha-8 protein OS=Homo sapiens OX=9606 GN=GJA8 PE=1 SV=3,P48165,Gap junction alpha-8 protein,GJA8,Homo sapiens,reviewed,1,5.0,433,GCA_057084165.1,Chromosome,HG03453_haplotype2_hprc_rel2_verkko2_supp,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Homo_sapiens/GJA9__P57773.fasta,>sp|P57773|CXA9_HUMAN Gap junction alpha-9 protein OS=Homo sapiens OX=9606 GN=GJA9 PE=2 SV=2,P57773,Gap junction alpha-9 protein,GJA9,Homo sapiens,reviewed,2,4.0,515,GCA_057084165.1,Chromosome,HG03453_haplotype2_hprc_rel2_verkko2_supp,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Homo_sapiens/GJB1__P08034.fasta,>sp|P08034|CXB1_HUMAN Gap junction beta-1 protein OS=Homo sapiens OX=9606 GN=GJB1 PE=1 SV=1,P08034,Gap junction beta-1 protein,GJB1,Homo sapiens,reviewed,1,5.0,283,GCA_057084165.1,Chromosome,HG03453_haplotype2_hprc_rel2_verkko2_supp,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Homo_sapiens/GJB2__P29033.fasta,>sp|P29033|CXB2_HUMAN Gap junction beta-2 protein OS=Homo sapiens OX=9606 GN=GJB2 PE=1 SV=3,P29033,Gap junction beta-2 protein,GJB2,Homo sapiens,reviewed,1,5.0,226,GCA_057084165.1,Chromosome,HG03453_haplotype2_hprc_rel2_verkko2_supp,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Homo_sapiens/GJB3__O75712.fasta,>sp|O75712|CXB3_HUMAN Gap junction beta-3 protein OS=Homo sapiens OX=9606 GN=GJB3 PE=1 SV=1,O75712,Gap junction beta-3 protein,GJB3,Homo sapiens,reviewed,1,5.0,270,GCA_057084165.1,Chromosome,HG03453_haplotype2_hprc_rel2_verkko2_supp,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Homo_sapiens/GJB4__Q9NTQ9.fasta,>sp|Q9NTQ9|CXB4_HUMAN Gap junction beta-4 protein OS=Homo sapiens OX=9606 GN=GJB4 PE=1 SV=1,Q9NTQ9,Gap junction beta-4 protein,GJB4,Homo sapiens,reviewed,1,5.0,266,GCA_057084165.1,Chromosome,HG03453_haplotype2_hprc_rel2_verkko2_supp,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Homo_sapiens/GJB5__O95377.fasta,>sp|O95377|CXB5_HUMAN Gap junction beta-5 protein OS=Homo sapiens OX=9606 GN=GJB5 PE=1 SV=2,O95377,Gap junction beta-5 protein,GJB5,Homo sapiens,reviewed,1,5.0,273,GCA_057084165.1,Chromosome,HG03453_haplotype2_hprc_rel2_verkko2_supp,GenBank,,,yes,Chromosome,medium,
